timestamp,timestamps_ns,has_image,model,class,confidence,x_min,y_min,x_max,y_max,dataset
,1754701801472560047,True,yolo26n,bus,0.28497424721717834,1563.5958251953125,847.4012451171875,2559.069091796875,1917.2449951171875,W042_08-09-2025
,1754702104027886770,True,yolo26n,car,0.8404058218002319,239.45907592773438,810.9801025390625,499.00897216796875,954.5696411132812,W042_08-09-2025
,1754702104027886770,True,yolo26n,car,0.7630335688591003,2270.572021484375,1046.97900390625,2558.8388671875,1321.542724609375,W042_08-09-2025
,1754702104027886770,True,yolo26n,car,0.743426501750946,1128.6011962890625,697.4050903320312,1291.405517578125,816.1384887695312,W042_08-09-2025
,1754702104027886770,True,yolo26n,car,0.41851016879081726,1391.0177001953125,682.530517578125,1539.1881103515625,760.4786376953125,W042_08-09-2025
,1754702104027886770,True,yolo26n,car,0.3735135495662689,1394.9578857421875,682.222412109375,1538.3463134765625,759.8695678710938,W042_08-09-2025
,1754702104027886770,True,yolo26n,car,0.32550567388534546,1209.8802490234375,622.9773559570312,1296.8143310546875,684.477783203125,W042_08-09-2025
,1754702104027886770,True,yolo26n,car,0.32166579365730286,961.61865234375,646.8653564453125,1042.521728515625,720.9982299804688,W042_08-09-2025
,1754702104027886770,True,yolo26n,car,0.28917816281318665,1.403717041015625,1736.731689453125,603.819091796875,1919.1590576171875,W042_08-09-2025
,1754702104027886770,True,yolo26n,car,0.28260427713394165,1089.5181884765625,634.4080200195312,1177.7235107421875,704.7837524414062,W042_08-09-2025
,1754702402355112817,True,yolo26n,car,0.622172474861145,0.0,1042.5208740234375,331.7008056640625,1368.1944580078125,W042_08-09-2025
,1754702402355112817,True,yolo26n,car,0.563049852848053,448.78399658203125,847.9151000976562,922.1885986328125,1061.612548828125,W042_08-09-2025
,1754702701243236677,True,yolo26n,car,0.5393260717391968,1110.5509033203125,607.45068359375,1169.3587646484375,650.8526000976562,W042_08-09-2025
,1754702701243236677,True,yolo26n,car,0.42507362365722656,1154.82177734375,629.550048828125,1223.10546875,686.8839721679688,W042_08-09-2025
,1754702701243236677,True,yolo26n,traffic light,0.25423818826675415,139.0113983154297,572.3599853515625,165.79347229003906,622.0580444335938,W042_08-09-2025
,1754703001759876853,True,yolo26n,car,0.8740355968475342,1235.759521484375,778.6153564453125,1625.3668212890625,945.8323364257812,W042_08-09-2025
,1754703001759876853,True,yolo26n,car,0.8611106276512146,377.8206481933594,891.8624877929688,841.4305419921875,1127.666259765625,W042_08-09-2025
,1754703001759876853,True,yolo26n,car,0.7702405452728271,2236.56103515625,829.1918334960938,2461.025146484375,932.7902221679688,W042_08-09-2025
,1754703001759876853,True,yolo26n,car,0.4030478000640869,979.4944458007812,591.6885986328125,1048.705322265625,652.9917602539062,W042_08-09-2025
,1754703001759876853,True,yolo26n,car,0.27534598112106323,1045.72900390625,595.2789306640625,1092.5985107421875,628.349365234375,W042_08-09-2025
,1754703304415344696,True,yolo26n,car,0.9131611585617065,1792.4696044921875,836.1349487304688,2109.71044921875,1012.673095703125,W042_08-09-2025
,1754703304415344696,True,yolo26n,car,0.8786354660987854,328.7528991699219,904.578369140625,667.1998291015625,1082.112060546875,W042_08-09-2025
,1754703601352069884,True,yolo26n,car,0.9007865190505981,1750.2386474609375,821.310302734375,2084.377685546875,977.8933715820312,W042_08-09-2025
,1754703601352069884,True,yolo26n,car,0.8661656379699707,795.0767822265625,758.3301391601562,1112.1490478515625,886.9066162109375,W042_08-09-2025
,1754703601352069884,True,yolo26n,car,0.8492503762245178,1292.41455078125,881.5678100585938,1802.262939453125,1101.38916015625,W042_08-09-2025
,1754703601352069884,True,yolo26n,car,0.837619423866272,2323.282470703125,870.3303833007812,2555.69970703125,999.2886962890625,W042_08-09-2025
,1754703903637599045,True,yolo26n,car,0.8932753801345825,2282.34765625,920.8984375,2537.16064453125,1083.6015625,W042_08-09-2025
,1754703903637599045,True,yolo26n,car,0.8922209739685059,254.73883056640625,912.0101318359375,680.0709228515625,1101.2471923828125,W042_08-09-2025
,1754703903637599045,True,yolo26n,car,0.8240869045257568,673.0225830078125,1325.069091796875,2062.474365234375,1918.859375,W042_08-09-2025
,1754703903637599045,True,yolo26n,car,0.8039667010307312,980.6686401367188,710.6076049804688,1281.467529296875,853.5582885742188,W042_08-09-2025
,1754703903637599045,True,yolo26n,car,0.7031477689743042,0.3824005126953125,1180.1912841796875,201.81752014160156,1396.711669921875,W042_08-09-2025
,1754703903637599045,True,yolo26n,car,0.39859846234321594,0.8050613403320312,1353.5157470703125,161.49676513671875,1667.83203125,W042_08-09-2025
,1754703903637599045,True,yolo26n,car,0.25026512145996094,1094.97314453125,603.4946899414062,1156.890625,646.71826171875,W042_08-09-2025
,1754704203494958375,True,yolo26n,car,0.9193704128265381,1412.5394287109375,862.1390991210938,1825.9892578125,1189.549072265625,W042_08-09-2025
,1754704203494958375,True,yolo26n,car,0.8477197885513306,240.6383819580078,791.1290893554688,549.8243408203125,974.64794921875,W042_08-09-2025
,1754704802792788238,True,yolo26n,car,0.7740911841392517,0.359039306640625,935.70166015625,173.05422973632812,1056.9029541015625,W042_08-09-2025
,1754704802792788238,True,yolo26n,car,0.41133153438568115,0.8174285888671875,1339.398193359375,451.94342041015625,1736.6898193359375,W042_08-09-2025
,1754705103044106740,True,yolo26n,car,0.78257817029953,580.8080444335938,766.4667358398438,846.4117431640625,890.6558837890625,W042_08-09-2025
,1754705103044106740,True,yolo26n,car,0.5888751745223999,2404.218994140625,838.2598876953125,2558.7744140625,944.5508422851562,W042_08-09-2025
,1754705103044106740,True,yolo26n,car,0.3887535035610199,2402.42822265625,839.2438354492188,2542.06689453125,942.9656372070312,W042_08-09-2025
,1754705402835086995,True,yolo26n,car,0.8766725659370422,655.3060302734375,901.7206420898438,1148.30126953125,1092.978759765625,W042_08-09-2025
,1754705402835086995,True,yolo26n,car,0.8502359986305237,1018.3894653320312,802.5403442382812,1474.703857421875,989.0826416015625,W042_08-09-2025
,1754705402835086995,True,yolo26n,car,0.8245319128036499,87.36012268066406,842.5736083984375,356.772705078125,964.3165283203125,W042_08-09-2025
,1754705702847527834,True,yolo26n,car,0.7001015543937683,2259.41943359375,851.5372314453125,2538.56396484375,991.3456420898438,W042_08-09-2025
,1754705702847527834,True,yolo26n,car,0.41138502955436707,67.22071838378906,856.749267578125,322.591552734375,979.431884765625,W042_08-09-2025
,1754706002876518742,True,yolo26n,car,0.9065941572189331,686.440673828125,883.6602172851562,1199.2030029296875,1092.9061279296875,W042_08-09-2025
,1754706002876518742,True,yolo26n,car,0.7714142799377441,0.0,1026.911376953125,188.54379272460938,1237.7845458984375,W042_08-09-2025
,1754706002876518742,True,yolo26n,car,0.7121480107307434,2198.706298828125,814.117431640625,2455.51171875,929.2947998046875,W042_08-09-2025
,1754706002876518742,True,yolo26n,car,0.3631784915924072,2500.9384765625,901.5911254882812,2558.830322265625,993.7718505859375,W042_08-09-2025
,1754706303193358279,True,yolo26n,car,0.7722740769386292,0.6988754272460938,846.5828247070312,238.16310119628906,970.6812744140625,W042_08-09-2025
,1754706602776712008,True,yolo26n,car,0.8394472599029541,1253.3538818359375,787.7308349609375,1681.7786865234375,975.1768798828125,W042_08-09-2025
,1754706602776712008,True,yolo26n,motorcycle,0.5534635186195374,0.01624298095703125,1035.8837890625,142.2244873046875,1249.3818359375,W042_08-09-2025
,1754706602776712008,True,yolo26n,car,0.35306939482688904,180.8683319091797,777.4547729492188,458.3533020019531,910.9378662109375,W042_08-09-2025
,1754706602776712008,True,yolo26n,motorcycle,0.2889207899570465,180.8683319091797,777.4547729492188,458.3533020019531,910.9378662109375,W042_08-09-2025
,1754707201765398999,True,yolo26n,car,0.6730642914772034,2448.72998046875,861.0535888671875,2558.912353515625,1020.2385864257812,W042_08-09-2025
,1754707201765398999,True,yolo26n,car,0.2666642367839813,962.1561889648438,593.6058959960938,1041.27099609375,646.4943237304688,W042_08-09-2025
,1754707501899087213,True,yolo26n,car,0.924235999584198,1945.5615234375,1028.6397705078125,2402.92578125,1331.2037353515625,W042_08-09-2025
,1754707501899087213,True,yolo26n,car,0.8426070213317871,185.93649291992188,771.3253784179688,408.897705078125,893.1595458984375,W042_08-09-2025
,1754707501899087213,True,yolo26n,car,0.8085395693778992,1134.585693359375,717.7732543945312,1300.5830078125,837.6787109375,W042_08-09-2025
,1754707501899087213,True,yolo26n,car,0.5907324552536011,2470.14990234375,1403.697265625,2558.800537109375,1653.3226318359375,W042_08-09-2025
,1754707501899087213,True,yolo26n,car,0.5872306823730469,2400.68408203125,849.9038696289062,2557.7685546875,944.764892578125,W042_08-09-2025
,1754707802975449441,True,yolo26n,traffic light,0.25011032819747925,1720.9219970703125,477.5404357910156,1756.292724609375,530.29736328125,W042_08-09-2025
,1754708101214971194,True,yolo26n,car,0.820710301399231,55.80265808105469,835.8390502929688,290.4322204589844,961.5534057617188,W042_08-09-2025
,1754708101214971194,True,yolo26n,car,0.7091723084449768,1342.81201171875,683.2902221679688,1516.6851806640625,759.224853515625,W042_08-09-2025
,1754708414741562232,True,yolo26n,car,0.4356841742992401,1190.37353515625,622.0612182617188,1287.056396484375,704.95849609375,W042_08-09-2025
,1754708704320881677,True,yolo26n,car,0.7239862680435181,460.5454406738281,861.39501953125,1014.494140625,1075.0452880859375,W042_08-09-2025
,1754708704320881677,True,yolo26n,car,0.5848356485366821,34.838043212890625,1122.513427734375,562.7569580078125,1481.32177734375,W042_08-09-2025
,1754708704320881677,True,yolo26n,car,0.46872678399086,2320.9306640625,891.4962158203125,2559.009033203125,1054.881103515625,W042_08-09-2025
,1754708704320881677,True,yolo26n,person,0.27311989665031433,1671.7625732421875,736.6736450195312,1739.9981689453125,834.5502319335938,W042_08-09-2025
,1754709002679838416,True,yolo26n,car,0.8875194787979126,686.0546875,877.4991455078125,1143.22314453125,1066.32373046875,W042_08-09-2025
,1754709302454802667,True,yolo26n,motorcycle,0.6885322332382202,2.0463485717773438,902.9332275390625,185.94061279296875,1030.097412109375,W042_08-09-2025
,1754709601546419640,True,yolo26n,car,0.8903006911277771,257.76953125,937.8056640625,751.8291015625,1190.5140380859375,W042_08-09-2025
,1754709601546419640,True,yolo26n,car,0.8464821577072144,1957.52490234375,863.6054077148438,2252.28564453125,1016.717529296875,W042_08-09-2025
,1754709901257132817,True,yolo26n,car,0.8918708562850952,194.94241333007812,811.8738403320312,442.4588623046875,928.8377075195312,W042_08-09-2025
,1754709901257132817,True,yolo26n,car,0.8387106657028198,1587.1650390625,806.298095703125,1916.836669921875,923.951171875,W042_08-09-2025
,1754709901257132817,True,yolo26n,car,0.2735089063644409,893.75830078125,598.3220825195312,976.9800415039062,658.0098876953125,W042_08-09-2025
